Rk,Player,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
223,Stephen Jackson,35,LAC,9,0,11.9,0.7,2.9,0.231,0.1,1.6,0.071,0.6,1.3,0.417,0.25,0.2,0.4,0.5,0.2,0.9,1.1,0.6,0.7,0.1,0.7,1.2,1.7
224,Bernard James,28,DAL,30,0,4.9,0.4,0.8,0.478,0,0,0,0.4,0.7,0.5,0.478,0.2,0.4,0.545,0.5,0.9,1.4,0.1,0.1,0.3,0.3,0.8,0.9
225,Damion James,26,SAS,5,1,10,0.4,1.8,0.222,0,0.4,0,0.4,1.4,0.286,0.222,0.4,0.4,1,0.2,2.2,2.4,0.6,0,0.2,0.2,0.6,1.2
226,LeBron James,29,MIA,77,77,37.7,10,17.6,0.567,1.5,4,0.379,8.5,13.6,0.622,0.61,5.7,7.6,0.75,1.1,5.9,6.9,6.3,1.6,0.3,3.5,1.6,27.1
227,Mike James,38,CHI,11,0,7,0.5,1.9,0.238,0.1,0.5,0.2,0.4,1.5,0.25,0.262,0,0.2,0,0,0.6,0.6,1.5,0.2,0,0.5,1,1
228,Antawn Jamison,37,LAC,22,0,11.3,1.3,4.2,0.315,0.4,1.9,0.195,1,2.3,0.412,0.359,0.8,1.1,0.72,0.4,2.1,2.5,0.3,0.4,0.1,0.3,1.3,3.8
229,Othyus Jeffers,28,TOT,6,1,7.8,0.5,1,0.5,0,0.3,0,0.5,0.7,0.75,0.5,0.5,0.7,0.75,0.2,1.3,1.5,0.2,0,0,0.2,0.5,1.5
229,Othyus Jeffers,28,SAS,4,1,8.5,0.8,1.3,0.6,0,0.3,0,0.8,1,0.75,0.6,0.3,0.5,0.5,0.3,1.3,1.5,0.3,0,0,0,0.5,1.8
229,Othyus Jeffers,28,MIN,2,0,6.5,0,0.5,0,0,0.5,0,0,0,,0,1,1,1,0,1.5,1.5,0,0,0,0.5,0.5,1
230,Al Jefferson,29,CHO,73,73,35,9.6,18.8,0.509,0,0.2,0.2,9.5,18.6,0.512,0.51,2.6,3.8,0.69,2.1,8.7,10.8,2.1,0.9,1.1,1.7,2.4,21.8
231,Richard Jefferson,33,UTA,82,78,27,3.6,8,0.45,1.5,3.7,0.409,2.1,4.3,0.484,0.544,1.5,2,0.741,0.2,2.5,2.7,1.6,0.7,0.2,1.1,2,10.1
232,John Jenkins,22,ATL,13,0,12.2,1.2,3.2,0.381,0.3,1.4,0.222,0.9,1.8,0.5,0.429,0.3,0.3,1,0.2,1.5,1.7,0.8,0.1,0.1,0.8,0.8,3.1
233,Brandon Jennings,24,DET,80,79,34.1,5.3,14.2,0.373,1.9,5.7,0.337,3.4,8.5,0.397,0.441,3,4,0.751,0.7,2.3,3.1,7.6,1.3,0.1,2.7,2,15.5
234,Jonas Jerebko,26,DET,64,0,11.6,1.5,3.3,0.471,0.5,1.2,0.419,1,2.1,0.5,0.546,0.7,0.9,0.729,0.8,1.9,2.7,0.6,0.3,0.1,0.7,1.3,4.2
235,Amir Johnson,26,TOR,77,72,28.8,4.5,7.9,0.562,0.3,0.9,0.303,4.2,7.1,0.593,0.578,1.2,1.9,0.636,2.2,4.3,6.6,1.5,0.7,1.1,1.6,3.5,10.4
236,Chris Johnson,23,BOS,40,0,19.7,2.1,5.4,0.397,1.1,3.2,0.339,1.1,2.2,0.483,0.498,0.9,1.1,0.86,0.8,1.7,2.4,0.8,0.7,0.1,0.6,1.6,6.3
237,James Johnson,26,MEM,52,4,18.4,2.8,5.9,0.464,0.4,1.7,0.253,2.3,4.3,0.548,0.5,1.5,1.7,0.844,1.2,2,3.2,2.1,0.8,1.1,1.3,2,7.4
238,Joe Johnson,32,BRK,79,79,32.6,5.8,12.9,0.454,2.1,5.1,0.401,3.8,7.8,0.489,0.533,2,2.5,0.815,0.6,2.8,3.4,2.7,0.6,0.1,1.5,1.6,15.8
239,Orlando Johnson,24,TOT,45,0,8.7,0.8,2.5,0.319,0.2,1,0.191,0.6,1.5,0.409,0.358,0.4,0.6,0.731,0.2,1,1.2,0.4,0.1,0,0.3,0.6,2.2
