,season,game_id,team_alias,team_game_score,w/l_ratio
475,2013,237,COLO,51.0,L
476,2013,239,UGA,58.0,W
477,2013,239,WEBB,49.0,L
478,2013,240,BUT,48.0,L
479,2013,240,VILL,67.0,W
480,2013,241,BRWN,52.0,L
481,2013,241,NW,58.0,W
482,2013,242,CAL,64.0,W
483,2013,242,OAK,60.0,L
484,2013,243,UTAH,57.0,L
485,2013,243,WASH,59.0,W
486,2013,244,CREI,95.0,W
487,2013,244,XAV,89.0,L
488,2013,245,ASU,89.0,W
489,2013,245,CAL,78.0,L
490,2013,246,JOES,49.0,L
491,2013,246,SLU,65.0,W
492,2013,247,MINN,82.0,W
493,2013,247,PUR,79.0,L
494,2013,248,BUT,67.0,L
495,2013,248,GTWN,70.0,W
496,2013,249,CIN,73.0,W
497,2013,249,HOU,62.0,L
498,2013,250,COLO,75.0,W
499,2013,250,KU,72.0,L
500,2013,251,LSU,61.0,L
501,2013,251,URI,74.0,W
502,2013,252,APP,49.0,L
503,2013,252,CIN,77.0,W
504,2013,253,CREI,63.0,W
505,2013,253,SJU,60.0,L
506,2013,254,LT,79.0,W
507,2013,254,UGA,71.0,L
508,2013,255,BGSU,73.0,L
509,2013,255,XAV,85.0,W
510,2013,256,LSU,78.0,L
511,2013,256,UGA,91.0,W
512,2013,257,MD,56.0,W
513,2013,257,PROV,52.0,L
514,2013,258,COLO,79.0,W
515,2013,258,UTAH,75.0,L
516,2013,259,CIN,86.0,W
517,2013,259,SCUS,50.0,L
518,2013,260,DUKE,91.0,W
519,2013,260,UNCA,55.0,L
520,2013,261,CP,37.0,L
521,2013,261,WICH,64.0,W
522,2013,262,BYU,96.0,L
523,2013,262,MASS,105.0,W
524,2013,263,MISS,73.0,L
525,2013,263,UGA,75.0,W
526,2013,264,PUR,79.0,W
527,2013,264,UMES,50.0,L
528,2013,265,DART,65.0,L
529,2013,265,ILL,72.0,W
530,2013,266,GT,74.0,L
531,2013,266,PITT,81.0,W
532,2013,267,DRKE,61.0,L
533,2013,267,WICH,78.0,W
534,2013,268,ARPB,63.0,L
535,2013,268,ORST,77.0,W
536,2013,269,ARK,81.0,W
537,2013,269,LSU,70.0,L
538,2013,270,ISU,77.0,W
539,2013,270,MICH,70.0,L
540,2013,271,CLEM,69.0,W
541,2013,271,GT,65.0,L
542,2013,273,MSU,58.0,L
543,2013,273,WIS,60.0,W
544,2013,274,ARIZ,73.0,W
545,2013,274,CP,62.0,L
546,2013,275,AUB,76.0,W
547,2013,275,NICH,54.0,L
548,2013,276,MICH,80.0,W
549,2013,276,MSU,75.0,L
550,2013,277,CIN,71.0,W
551,2013,277,RUTG,51.0,L
552,2013,278,ALA,67.0,L
553,2013,278,MISS,79.0,W
554,2013,279,ORST,76.0,W
555,2013,279,TOWS,67.0,L
556,2013,280,MARQ,63.0,W
557,2013,280,SOU,56.0,L
558,2013,281,ASU,70.0,W
559,2013,281,BRAD,58.0,L
560,2013,282,BAY,76.0,W
561,2013,282,OKST,70.0,L
562,2013,283,MARQ,71.0,W
563,2013,283,SAM,48.0,L
564,2013,284,HALL,74.0,L
565,2013,284,MER,77.0,W
566,2013,285,ASU,57.0,L
567,2013,285,MIA,60.0,W
568,2013,286,ORE,107.0,W
569,2013,286,WCU,83.0,L
570,2013,287,NEB,54.0,L
571,2013,287,PSU,58.0,W
572,2013,288,PROV,79.0,L
573,2013,288,VILL,82.0,W
574,2013,289,BC,70.0,L
575,2013,289,FSU,74.0,W
576,2013,290,ASU,76.0,W
577,2013,290,TTU,62.0,L
578,2013,291,BYU,88.0,L
579,2013,291,ISU,90.0,W
580,2013,292,MONM,54.0,L
581,2013,292,SJU,64.0,W
582,2013,293,CIN,69.0,W
583,2013,293,TEM,58.0,L
584,2013,294,MSST,55.0,L
585,2013,294,UGA,75.0,W
586,2013,295,FLA,61.0,W
587,2013,295,UK,60.0,L
588,2013,296,BSU,55.0,L
589,2013,296,UK,70.0,W
590,2013,297,KU,64.0,W
591,2013,297,TTU,63.0,L
592,2013,298,IND,102.0,W
593,2013,298,WASH,84.0,L
594,2013,299,CAL,66.0,L
595,2013,299,UCLA,86.0,W
596,2013,300,KSU,61.0,W
597,2013,300,MISS,58.0,L
598,2013,301,TEX,85.0,W
599,2013,301,TXST,53.0,L
600,2013,302,FAIR,57.0,L
601,2013,302,LOU,71.0,W
602,2013,303,BUT,71.0,W
603,2013,303,HALL,54.0,L
604,2013,304,KSU,71.0,W
605,2013,304,ORU,63.0,L
606,2013,305,ILL,43.0,L
607,2013,305,NW,49.0,W
608,2013,306,HBU,30.0,L
609,2013,306,TEX,89.0,W
610,2013,307,FSU,67.0,W
611,2013,307,MD,65.0,L
612,2013,308,BING,65.0,L
613,2013,308,SYR,93.0,W
614,2013,309,CREI,65.0,L
615,2013,309,SJU,70.0,W
616,2013,310,COFC,48.0,L
617,2013,310,LOU,70.0,W
618,2013,311,MISS,72.0,L
619,2013,311,MSST,76.0,W
620,2013,312,MER,73.0,W
621,2013,312,TEX,70.0,L
622,2013,313,TLSA,59.0,L
